epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5832,1.73554,3.86256,2.08104,0.00813,0.78,0.18366,0.0666,1.45891,3.65553,1.91914,0.0005,0.0005,0.0005
2,15.8026,1.38674,3.11377,1.83354,0.00771,0.74,0.18189,0.08852,1.56502,3.65464,2.09436,0.00100259,0.00100259,0.00100259
3,19.5747,1.37448,2.80355,1.84635,0.86375,0.12,0.19839,0.13701,1.67386,3.64087,1.96495,0.00148743,0.00148743,0.00148743
4,23.3732,1.41282,2.9579,1.85689,0.25782,0.38,0.14554,0.06045,2.47092,3.40619,2.95848,0.00189759,0.00189759,0.00189759
5,27.092,1.38411,2.81516,1.74132,0.31216,0.32,0.15588,0.04695,1.97534,5.65544,2.47118,0.00186345,0.00186345,0.00186345
6,30.8018,1.37441,2.74562,1.79001,0.65042,0.36,0.39791,0.16984,1.56338,3.65671,1.99462,0.00182931,0.00182931,0.00182931
7,34.5821,1.39299,2.66444,1.86877,0.28473,0.32,0.27574,0.15761,1.49553,3.43575,1.96701,0.00179517,0.00179517,0.00179517
8,38.2795,1.2841,2.51014,1.7577,0.39373,0.44,0.36662,0.20177,1.49847,4.10261,2.0479,0.00176103,0.00176103,0.00176103
9,42.0275,1.22776,2.35618,1.7294,0.33013,0.56,0.34448,0.22678,1.39711,3.17148,1.93608,0.0017269,0.0017269,0.0017269
10,45.817,1.29949,2.32747,1.7434,0.44653,0.48,0.38427,0.18264,1.33896,3.11203,1.83845,0.00169276,0.00169276,0.00169276
11,49.6193,1.26216,2.37335,1.7618,0.61828,0.44,0.49649,0.27212,1.39766,2.14198,1.71653,0.00165862,0.00165862,0.00165862
12,53.6584,1.23782,2.2508,1.67949,0.73491,0.4,0.51167,0.33085,1.18355,1.95883,1.50487,0.00162448,0.00162448,0.00162448
13,57.6679,1.17369,2.09939,1.61672,0.58847,0.6006,0.58389,0.37572,1.19095,1.97799,1.45745,0.00159034,0.00159034,0.00159034
14,62.3341,1.1617,2.16725,1.63849,0.4807,0.68,0.57737,0.39792,1.10171,1.74442,1.41395,0.00155621,0.00155621,0.00155621
15,66.7103,1.09889,2.05427,1.57326,0.63931,0.68,0.60044,0.39654,1.13312,1.92716,1.39096,0.00152207,0.00152207,0.00152207
16,71.1732,1.12972,1.9785,1.65322,0.71595,0.64,0.66528,0.43978,1.05413,1.7133,1.4074,0.00148793,0.00148793,0.00148793
17,75.6031,1.10929,2.02683,1.58509,0.77346,0.61465,0.65143,0.38988,1.1771,1.89182,1.51134,0.00145379,0.00145379,0.00145379
18,80.4961,1.09916,2.0126,1.59418,0.78739,0.66,0.60457,0.36242,1.06134,1.96723,1.41172,0.00141966,0.00141966,0.00141966
19,85.9321,1.04179,1.85807,1.56158,0.76502,0.72,0.62181,0.45575,0.9859,1.66902,1.3344,0.00138552,0.00138552,0.00138552
20,90.6123,0.98587,1.79359,1.47433,0.66803,0.7,0.69274,0.5208,0.90318,1.53996,1.26361,0.00135138,0.00135138,0.00135138
21,94.8624,1.08298,1.86399,1.54232,0.76085,0.64,0.67127,0.49884,0.9013,1.50947,1.28637,0.00131724,0.00131724,0.00131724
22,99.1369,1.14942,1.97092,1.59393,0.7974,0.62987,0.70502,0.51958,0.91509,1.46743,1.30208,0.0012831,0.0012831,0.0012831
23,103.619,1.03034,1.79337,1.50846,0.73067,0.66,0.69525,0.5177,0.9416,1.39732,1.3429,0.00124897,0.00124897,0.00124897
24,107.85,1.03048,1.68999,1.54301,0.83353,0.6,0.72728,0.54294,0.97989,1.36533,1.28594,0.00121483,0.00121483,0.00121483
25,112.083,1.0041,1.64585,1.48736,0.78564,0.62,0.70734,0.53785,0.8958,1.34185,1.24613,0.00118069,0.00118069,0.00118069
26,116.244,0.90976,1.63165,1.45991,0.83146,0.62,0.7255,0.55446,0.86753,1.38318,1.25397,0.00114655,0.00114655,0.00114655
27,120.523,0.98359,1.58477,1.47514,0.81692,0.6,0.68625,0.50099,0.91535,1.33255,1.25702,0.00111241,0.00111241,0.00111241
28,124.792,1.02895,1.70465,1.52356,0.83959,0.66,0.75827,0.54295,0.90339,1.23176,1.2707,0.00107828,0.00107828,0.00107828
29,129.032,1.05331,1.6822,1.50268,0.84901,0.64,0.75202,0.56678,0.8682,1.22311,1.24395,0.00104414,0.00104414,0.00104414
30,133.549,0.93208,1.57226,1.4819,0.74926,0.71721,0.74055,0.54579,0.87016,1.22777,1.24334,0.00101,0.00101,0.00101
31,137.616,0.90853,1.50049,1.41286,0.83324,0.7,0.77796,0.56175,0.8669,1.12348,1.22964,0.000975862,0.000975862,0.000975862
32,141.327,0.96968,1.59408,1.46683,0.90651,0.64,0.76124,0.55034,0.87209,1.12113,1.21199,0.000941724,0.000941724,0.000941724
33,145.027,1.02216,1.62937,1.52864,0.68305,0.7,0.72755,0.52862,0.87633,1.19777,1.21817,0.000907586,0.000907586,0.000907586
34,148.802,0.91699,1.56482,1.42522,0.71216,0.69286,0.7163,0.52272,0.89155,1.17696,1.24519,0.000873448,0.000873448,0.000873448
35,152.502,0.9389,1.50956,1.43567,0.82799,0.7,0.77152,0.59228,0.86152,1.08601,1.23572,0.00083931,0.00083931,0.00083931
36,156.234,0.8964,1.44763,1.39385,0.94406,0.67515,0.78239,0.57017,0.83732,1.04117,1.20105,0.000805172,0.000805172,0.000805172
37,159.884,0.88794,1.46011,1.41698,0.97037,0.6551,0.78083,0.56023,0.86195,1.07824,1.21389,0.000771034,0.000771034,0.000771034
