epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.4852,1.89122,4.32924,2.23519,0.005,0.6,0.46923,0.36752,0.65238,3.17505,1.50512,0.00024,0.00024,0.00024
2,20.2011,1.24294,2.96695,1.73144,0.00833,1,0.8813,0.68615,0.66218,2.88625,1.22602,0.000492929,0.000492929,0.000492929
3,24.0986,1.35299,2.92909,1.80685,1,0.46583,0.75973,0.53508,0.67948,2.71095,1.33508,0.000738503,0.000738503,0.000738503
4,27.8387,1.38297,2.75995,1.79804,0.49417,0.86667,0.85887,0.61119,1.07511,2.69438,1.79556,0.000976723,0.000976723,0.000976723
5,31.5509,1.24949,2.59005,1.66264,0.87992,0.4903,0.80337,0.62477,0.83713,2.51307,1.39721,0.00120759,0.00120759,0.00120759
6,35.1434,1.18901,2.42894,1.6701,0.97915,0.8,0.86704,0.66357,0.88397,1.85365,1.57889,0.0014311,0.0014311,0.0014311
7,38.8182,1.25071,2.45523,1.72247,0.98359,0.8,0.86726,0.59019,1.13901,1.88602,1.82893,0.00164726,0.00164726,0.00164726
8,42.4694,1.2335,2.3377,1.66664,0.46798,0.86667,0.73739,0.57017,0.75737,1.96796,1.4445,0.001802,0.001802,0.001802
9,46.1467,1.30302,2.44189,1.69681,0.57852,0.86667,0.78946,0.61944,0.76976,2.15335,1.56607,0.00177371,0.00177371,0.00177371
10,49.9347,1.22742,2.28746,1.68731,1,0.4,0.63347,0.46928,0.88061,4.28097,1.58824,0.00174543,0.00174543,0.00174543
11,53.5948,1.1982,2.2669,1.63246,0.70746,0.80642,0.91356,0.57697,0.64394,1.58106,1.27498,0.00171714,0.00171714,0.00171714
12,57.2274,1.20653,2.233,1.63009,0.75223,0.86667,0.8059,0.55904,0.73642,1.41725,1.39989,0.00168886,0.00168886,0.00168886
13,60.8466,1.14997,2.02719,1.58067,0.85232,0.73333,0.83566,0.67951,0.77364,1.44047,1.37945,0.00166057,0.00166057,0.00166057
14,64.4569,1.10471,2.00312,1.54247,0.97624,0.8,0.84735,0.74488,0.67917,1.3504,1.18702,0.00163229,0.00163229,0.00163229
15,68.1362,1.09523,1.93512,1.54381,0.9783,0.8,0.89585,0.76973,0.57651,1.15862,1.28442,0.001604,0.001604,0.001604
16,71.9092,1.07169,1.89054,1.57045,0.98242,0.8,0.92975,0.77765,0.59848,1.02293,1.30563,0.00157571,0.00157571,0.00157571
17,75.9022,1.04869,1.90284,1.49808,1,0.86274,0.90157,0.76609,0.52244,1.03967,1.25311,0.00154743,0.00154743,0.00154743
18,79.6702,1.09162,1.87716,1.58545,0.99368,0.8,0.84408,0.71098,0.61738,1.02521,1.35324,0.00151914,0.00151914,0.00151914
19,83.5413,1.03339,1.76204,1.53169,0.9883,0.8,0.86856,0.76888,0.51742,1.08481,1.18837,0.00149086,0.00149086,0.00149086
20,87.2091,1.01812,1.68872,1.46588,0.99136,0.8,0.90255,0.7865,0.47626,0.7777,1.08088,0.00146257,0.00146257,0.00146257
21,90.8973,0.95388,1.55331,1.48159,0.995,0.8,0.87818,0.76678,0.55417,0.82099,1.13601,0.00143429,0.00143429,0.00143429
22,94.57,0.9667,1.68454,1.48731,1,0.85737,0.90106,0.77391,0.59585,0.86054,1.28426,0.001406,0.001406,0.001406
23,98.1901,0.95508,1.65508,1.43542,0.98821,0.8,0.91733,0.7734,0.65787,0.75203,1.26384,0.00137771,0.00137771,0.00137771
24,101.905,0.98197,1.59907,1.45668,0.98385,0.8,0.90215,0.75029,0.61899,0.83122,1.16934,0.00134943,0.00134943,0.00134943
25,105.566,0.92059,1.53546,1.38082,0.99227,0.8,0.9575,0.78967,0.52234,0.94211,1.19678,0.00132114,0.00132114,0.00132114
26,109.205,0.91614,1.50208,1.43311,0.98781,0.8,0.93018,0.76407,0.59825,1.04124,1.25857,0.00129286,0.00129286,0.00129286
27,112.804,0.92306,1.55573,1.44138,0.98469,0.8,0.89333,0.77838,0.45887,0.85464,1.07524,0.00126457,0.00126457,0.00126457
28,116.487,0.93395,1.42842,1.44165,0.99236,0.8,0.84046,0.73888,0.4758,0.72243,1.08558,0.00123629,0.00123629,0.00123629
29,120.151,0.96824,1.47882,1.42164,0.99144,0.8,0.87281,0.76575,0.44697,0.74214,1.08325,0.001208,0.001208,0.001208
30,123.998,0.97258,1.5332,1.41345,0.99121,0.8,0.85812,0.78715,0.43539,0.83427,1.07284,0.00117971,0.00117971,0.00117971
31,127.692,0.89756,1.41269,1.40444,0.99385,0.8,0.8401,0.78072,0.41338,0.81071,1.05989,0.00115143,0.00115143,0.00115143
32,131.418,0.92494,1.44607,1.38269,0.9949,0.8,0.86779,0.79064,0.42649,0.78038,1.04495,0.00112314,0.00112314,0.00112314
