epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.4991,1.89122,4.32924,2.23519,0.00667,0.64,0.30672,0.1532,1.16287,3.80029,1.69556,0.00024,0.00024,0.00024
2,24.9307,1.21938,2.96414,1.72658,0.00771,0.74,0.38689,0.19446,1.39327,3.98232,1.77807,0.00049175,0.00049175,0.00049175
3,28.7743,1.3564,2.91245,1.8147,0.92511,0.14,0.34045,0.22355,1.2637,3.74457,1.56292,0.00073492,0.00073492,0.00073492
4,32.4045,1.36295,2.72399,1.7913,0.48238,0.16,0.2701,0.15544,1.33113,3.62768,1.69922,0.00096951,0.00096951,0.00096951
5,35.9772,1.20797,2.51871,1.61055,0.4109,0.34,0.35619,0.21762,1.25,3.37063,1.57601,0.00119552,0.00119552,0.00119552
6,39.4845,1.19206,2.4404,1.65124,0.50953,0.3,0.36517,0.1889,1.53746,3.7928,1.95552,0.00141295,0.00141295,0.00141295
7,43.1142,1.22764,2.46242,1.72567,0.6886,0.42,0.465,0.31433,1.22725,2.56295,1.5396,0.0016218,0.0016218,0.0016218
8,46.6458,1.18993,2.33038,1.6202,0.48924,0.3,0.30169,0.1886,1.67327,4.28126,2.17013,0.001769,0.001769,0.001769
9,50.1434,1.28731,2.39073,1.69133,0.61778,0.4,0.40982,0.25181,1.51569,3.01688,1.88251,0.001736,0.001736,0.001736
10,53.6482,1.1235,2.14163,1.60905,0.6437,0.44,0.40047,0.28762,1.58949,4.14015,2.21632,0.001703,0.001703,0.001703
