epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,299.869,0.73798,1.42431,1.29786,0.88534,0.71429,0.78504,0.59923,0.86948,1.0112,1.08855,0.000462281,0.000462281,0.000462281
43,304.112,0.83575,1.47456,1.32524,0.89863,0.76011,0.81125,0.62834,0.85439,0.93586,1.07389,0.000438703,0.000438703,0.000438703
44,308.473,0.80809,1.34597,1.30249,0.95852,0.77143,0.84591,0.65775,0.85439,0.87529,1.06709,0.000415124,0.000415124,0.000415124
45,312.878,0.79045,1.41022,1.29048,0.95612,0.8,0.86436,0.66933,0.84989,0.84648,1.05272,0.000391546,0.000391546,0.000391546
46,317.143,0.83239,1.50313,1.29238,0.95612,0.8,0.86436,0.66933,0.84989,0.84648,1.05272,0.000367967,0.000367967,0.000367967
47,321.385,0.80482,1.30671,1.29726,0.99551,0.77143,0.86191,0.67543,0.82767,0.83289,1.03933,0.000344389,0.000344389,0.000344389
48,325.707,0.82872,1.45164,1.30056,0.91927,0.8,0.85502,0.66384,0.80375,0.83261,1.03734,0.00032081,0.00032081,0.00032081
49,329.982,0.80926,1.30213,1.29006,0.92385,0.8,0.84278,0.66491,0.80602,0.839,1.04225,0.000297232,0.000297232,0.000297232
50,334.265,0.74326,1.323,1.27644,0.89881,0.8,0.84271,0.65843,0.80508,0.85928,1.05166,0.000273654,0.000273654,0.000273654
51,338.393,1.0584,2.66902,1.54178,0.88811,0.8,0.83255,0.66036,0.80886,0.89844,1.06541,0.000250075,0.000250075,0.000250075
52,342.356,0.96408,2.32977,1.30632,0.85804,0.8,0.81451,0.64717,0.80787,0.87531,1.06872,0.000226497,0.000226497,0.000226497
53,346.403,1.00257,2.35168,1.30444,0.91468,0.71429,0.80923,0.63273,0.80232,0.88951,1.06583,0.000202918,0.000202918,0.000202918
54,350.346,0.93853,2.24884,1.31265,0.91468,0.71429,0.80923,0.63273,0.80232,0.88951,1.06583,0.00017934,0.00017934,0.00017934
55,354.336,0.94162,2.35308,1.32569,0.96111,0.70639,0.80079,0.62387,0.79927,0.89373,1.06091,0.000155761,0.000155761,0.000155761
56,358.34,1.07663,2.31526,1.33699,0.96149,0.7133,0.80131,0.62553,0.80621,0.89234,1.0604,0.000132183,0.000132183,0.000132183
57,362.367,0.91271,2.03848,1.175,0.95793,0.71429,0.80588,0.62956,0.81423,0.90015,1.06276,0.000108604,0.000108604,0.000108604
58,366.359,1.01954,2.2439,1.18455,0.95286,0.71429,0.81742,0.63986,0.80655,0.89013,1.06333,8.50255e-05,8.50255e-05,8.50255e-05
59,370.318,0.9438,2.15947,1.27856,0.92833,0.71429,0.8211,0.64183,0.80557,0.87886,1.06358,6.1447e-05,6.1447e-05,6.1447e-05
60,374.323,0.93928,2.08857,1.27375,0.93865,0.71429,0.82291,0.64415,0.80129,0.87397,1.06242,3.78685e-05,3.78685e-05,3.78685e-05
