epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.735,1.61568,3.39343,1.93994,0.00646,0.62,0.32234,0.15284,0.95859,3.44261,1.65294,0.00024,0.00024,0.00024
2,21.8372,1.06372,2.44528,1.55675,0.00813,0.78,0.4104,0.22547,1.05997,3.39576,1.66287,0.0004901,0.0004901,0.0004901
3,24.8147,1.28863,2.45184,1.68413,0.00771,0.74,0.42904,0.25687,1.27705,3.39647,1.63361,0.000729904,0.000729904,0.000729904
4,27.7553,1.21344,2.23902,1.61847,0.63561,0.16,0.27658,0.15282,1.97396,3.55423,2.1401,0.000959412,0.000959412,0.000959412
5,30.5176,1.11742,2.09858,1.51668,0.7159,0.40328,0.43005,0.15876,1.55965,3.08602,2.13522,0.00117862,0.00117862,0.00117862
6,37.8212,1.13544,2.08129,1.57639,0.39322,0.4,0.34902,0.15838,1.31236,2.85137,1.81837,0.00138754,0.00138754,0.00138754
7,41.382,1.08863,2.05712,1.5663,0.38425,0.6,0.46768,0.22878,1.28755,2.59602,1.77859,0.00158616,0.00158616,0.00158616
8,44.7491,1.08484,1.97554,1.53175,0.75085,0.42198,0.50991,0.31004,1.13817,2.33507,1.72112,0.0017228,0.0017228,0.0017228
9,48.1182,1.09228,1.94872,1.5283,0.46049,0.61462,0.41583,0.23456,1.1298,4.24567,1.61592,0.0016832,0.0016832,0.0016832
10,51.381,1.02286,1.8374,1.48387,0.67888,0.6,0.5656,0.34938,1.1057,3.78663,1.61479,0.0016436,0.0016436,0.0016436
11,54.5695,1.05533,1.84656,1.503,0.51825,0.58093,0.5148,0.32797,1.14944,2.46966,1.7949,0.001604,0.001604,0.001604
12,58.2435,1.07873,1.84527,1.54151,0.83236,0.6,0.69584,0.46146,1.05235,1.82452,1.72622,0.0015644,0.0015644,0.0015644
13,62.3822,0.9859,1.70295,1.43781,0.90181,0.62,0.71831,0.48699,1.03168,1.7534,1.64156,0.0015248,0.0015248,0.0015248
14,65.8063,0.96618,1.67802,1.44725,0.59162,0.68,0.67538,0.40279,1.14526,2.68609,1.74529,0.0014852,0.0014852,0.0014852
15,69.6408,0.98717,1.65951,1.448,0.86717,0.54,0.64694,0.45821,0.93616,1.96724,1.39625,0.0014456,0.0014456,0.0014456
16,72.9457,0.94763,1.56948,1.42365,0.63181,0.52,0.56892,0.39054,0.97278,2.17386,1.45634,0.001406,0.001406,0.001406
17,76.1132,0.96666,1.55401,1.39744,0.84787,0.64,0.68348,0.46934,1.11893,1.6933,1.55462,0.0013664,0.0013664,0.0013664
18,79.2805,0.92157,1.56385,1.3792,0.86622,0.64764,0.71263,0.5251,1.02398,1.41865,1.54749,0.0013268,0.0013268,0.0013268
19,82.5035,0.89118,1.49464,1.37058,0.90951,0.66,0.76342,0.52056,1.04606,1.40946,1.67262,0.0012872,0.0012872,0.0012872
20,87.1247,0.8668,1.40829,1.34915,0.84888,0.7,0.76985,0.58177,0.94122,1.33239,1.481,0.0012476,0.0012476,0.0012476
21,91.9488,0.86401,1.37775,1.36361,0.94244,0.65498,0.7814,0.5842,0.92515,1.31109,1.45571,0.001208,0.001208,0.001208
