epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.6948,1.2809,3.231,1.40572,0.00833,1,0.24878,0.17589,0.4363,2.65607,0.84976,0.00024,0.00024,0.00024
2,13.8243,0.85086,2.37477,1.15765,0.00833,1,0.28299,0.24937,0.34236,2.6071,0.83638,0.0004901,0.0004901,0.0004901
3,15.775,0.85765,2.7214,1.20082,0.87811,0.4,0.42511,0.38154,0.48916,2.46704,0.902,0.000729904,0.000729904,0.000729904
4,17.6713,0.91183,2.21788,1.26586,0.98682,0.4,0.42384,0.34743,0.63298,2.32795,0.99789,0.000959412,0.000959412,0.000959412
5,19.5417,0.95581,2.14134,1.20275,0.10885,0.53333,0.276,0.20408,0.63845,2.33506,0.97759,0.00117862,0.00117862,0.00117862
6,21.367,0.8933,1.89679,1.16372,0.98268,0.4,0.51844,0.41093,0.71937,1.92339,1.00459,0.00138754,0.00138754,0.00138754
7,23.2269,0.93143,2.09695,1.20987,0.97418,0.8,0.86916,0.68287,0.82724,1.24492,1.12633,0.00158616,0.00158616,0.00158616
8,25.0156,0.93172,1.84513,1.2161,0.98591,0.8,0.92134,0.7083,0.76241,1.15301,1.0405,0.0017228,0.0017228,0.0017228
9,26.8774,0.87749,2.4114,1.19866,0.89581,0.8,0.88948,0.68371,0.8023,1.25289,1.16593,0.0016832,0.0016832,0.0016832
10,28.7172,0.82273,1.69014,1.13676,0.86382,0.84676,0.86761,0.655,0.74327,1.09537,1.19009,0.0016436,0.0016436,0.0016436
11,30.7902,0.86005,1.65553,1.16187,0.47531,0.8,0.59237,0.31917,0.82793,2.23476,1.10433,0.001604,0.001604,0.001604
12,32.574,0.8714,1.89014,1.17764,0.92255,0.79451,0.85813,0.68222,0.70514,1.11746,0.98435,0.0015644,0.0015644,0.0015644
13,34.3189,0.78011,1.54464,1.07982,0.89658,0.8,0.89687,0.72196,0.59308,1.23439,0.9576,0.0015248,0.0015248,0.0015248
14,36.1231,0.79223,1.57389,1.10044,0.78899,0.8,0.77137,0.51649,0.7646,1.47467,1.04614,0.0014852,0.0014852,0.0014852
15,37.9631,0.75092,1.60781,1.08047,0.91145,0.8,0.81594,0.71308,0.61568,0.90205,0.89546,0.0014456,0.0014456,0.0014456
16,39.7649,0.76133,1.53428,1.10588,0.9946,0.8,0.84434,0.78469,0.51708,0.85518,0.88141,0.001406,0.001406,0.001406
17,41.6266,0.76874,1.36166,1.06852,0.99446,0.8,0.88592,0.77114,0.52332,0.69937,0.8935,0.0013664,0.0013664,0.0013664
18,43.4537,0.75899,1.47678,1.14449,0.99411,0.8,0.89795,0.78512,0.47649,0.65175,0.8767,0.0013268,0.0013268,0.0013268
19,45.4507,0.78717,1.42272,1.1312,0.7133,0.86667,0.77126,0.63282,0.60513,0.96675,0.93758,0.0012872,0.0012872,0.0012872
