epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.05259,2.54992,5.63489,2.64143,0.00556,0.66667,0.00972,0.00238,1.25716,3.5782,1.87601,0.00012,0.00012,0.00012
2,10.8574,1.75502,4.51951,2.16045,0.005,0.6,0.10301,0.07287,0.62541,3.24011,1.43657,0.000253565,0.000253565,0.000253565
3,12.9117,1.34796,3.37568,1.81617,0.005,0.6,0.25099,0.17141,1.04164,3.34832,1.86877,0.0003802,0.0003802,0.0003802
4,15.0183,1.21959,3.03533,1.66337,0.00833,1,0.56924,0.38042,1.12031,3.22022,1.97413,0.000499905,0.000499905,0.000499905
5,17.0816,1.00081,2.7161,1.50567,0.00833,1,0.44598,0.21699,1.1116,3.3948,2.01638,0.00061268,0.00061268,0.00061268
6,19.0189,1.03949,2.70467,1.54263,0.00833,1,0.69564,0.39244,0.83106,2.91044,1.45833,0.000718525,0.000718525,0.000718525
7,20.9278,1.00331,2.58516,1.4871,0.94431,0.8,0.92823,0.70705,0.81722,2.57751,1.43705,0.00081744,0.00081744,0.00081744
8,22.8588,1.03324,2.42651,1.48331,0.72055,0.86667,0.905,0.62352,1.12964,2.53767,1.9413,0.000909425,0.000909425,0.000909425
9,24.7691,0.94246,2.5043,1.41106,0.71229,0.8,0.86834,0.67622,0.7205,2.48884,1.3922,0.00099448,0.00099448,0.00099448
10,26.7012,0.91265,2.3028,1.36542,0.94188,0.4,0.63926,0.54207,0.67154,2.68362,1.46156,0.00107261,0.00107261,0.00107261
11,28.6358,0.99231,2.66273,1.50417,0.71302,0.86667,0.80222,0.58593,0.75201,1.74293,1.3868,0.0011438,0.0011438,0.0011438
12,30.5574,1.00692,2.12882,1.43114,0.97258,0.8,0.90287,0.76162,0.60998,1.53985,1.29062,0.00120807,0.00120807,0.00120807
13,32.4755,0.8883,2.25651,1.35531,0.67159,0.86667,0.73562,0.54751,0.76209,1.71702,1.35901,0.0012654,0.0012654,0.0012654
14,34.3792,0.97116,2.22143,1.42428,0.67159,0.86667,0.73562,0.54751,0.76209,1.71702,1.35901,0.00131581,0.00131581,0.00131581
