epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,160.562,0.962,1.47601,1.18706,0.90835,0.86667,0.89795,0.71326,0.78326,0.98701,1.20525,0.000462281,0.000462281,0.000462281
43,164.29,0.88127,1.26526,1.16329,0.94164,0.83333,0.88212,0.67914,0.81379,1.02055,1.2353,0.000438703,0.000438703,0.000438703
44,168.032,0.92907,1.40151,1.19915,0.97749,0.82161,0.8798,0.68862,0.84779,1.01031,1.23654,0.000415124,0.000415124,0.000415124
45,171.844,0.96048,1.38772,1.17929,0.94395,0.83333,0.87768,0.69591,0.8301,0.98143,1.20972,0.000391546,0.000391546,0.000391546
46,175.639,0.93965,1.35598,1.14138,0.92551,0.83333,0.87184,0.69387,0.79233,0.96566,1.18526,0.000367967,0.000367967,0.000367967
47,179.441,0.96861,1.3629,1.25259,0.8703,0.82747,0.87009,0.71512,0.7488,0.95925,1.15379,0.000344389,0.000344389,0.000344389
48,183.2,0.87682,1.29822,1.19303,0.86907,0.86246,0.87612,0.73203,0.72469,0.95706,1.13194,0.00032081,0.00032081,0.00032081
49,186.932,0.82317,1.1798,1.08136,0.86069,0.86332,0.87635,0.71537,0.71594,0.93327,1.12798,0.000297232,0.000297232,0.000297232
50,190.643,0.91648,1.2547,1.16007,0.88804,0.82213,0.87448,0.7152,0.70327,0.85517,1.11985,0.000273654,0.000273654,0.000273654
51,194.386,0.82331,1.67112,1.17123,0.90217,0.83333,0.87907,0.72058,0.6998,0.83723,1.12632,0.000250075,0.000250075,0.000250075
52,197.897,0.83838,1.58817,1.14232,0.94349,0.83333,0.88416,0.71806,0.70125,0.84883,1.1307,0.000226497,0.000226497,0.000226497
53,201.32,0.89818,1.62918,1.12539,0.97324,0.83333,0.88342,0.71855,0.7161,0.89651,1.14562,0.000202918,0.000202918,0.000202918
54,204.781,0.88614,1.72581,1.15336,0.97408,0.83274,0.88022,0.71609,0.72067,0.94077,1.14556,0.00017934,0.00017934,0.00017934
55,208.258,0.85705,1.62635,1.18045,0.97592,0.83113,0.87908,0.70749,0.72274,0.96703,1.14379,0.000155761,0.000155761,0.000155761
56,211.723,0.84889,1.63433,1.18781,0.98141,0.83258,0.88034,0.70525,0.72324,0.97256,1.1384,0.000132183,0.000132183,0.000132183
57,215.18,0.84773,1.66893,1.11016,0.97854,0.83333,0.87832,0.70243,0.72305,0.96169,1.13376,0.000108604,0.000108604,0.000108604
58,218.518,0.88264,1.57387,1.1659,0.97534,0.83333,0.87972,0.71093,0.71474,0.93897,1.12394,8.50255e-05,8.50255e-05,8.50255e-05
59,221.93,0.80559,1.521,1.15234,0.97302,0.83333,0.8815,0.71576,0.70659,0.91966,1.11707,6.1447e-05,6.1447e-05,6.1447e-05
60,225.321,0.83415,1.54933,1.10657,0.97263,0.83333,0.88764,0.71623,0.70656,0.91018,1.11539,3.78685e-05,3.78685e-05,3.78685e-05
