epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.2962,1.86398,7.11968,2.14173,0.00778,0.93333,0.32729,0.17911,0.80657,3.2182,1.5133,0.00024,0.00024,0.00024
2,19.4635,1.01239,4.48979,1.50917,0.00833,1,0.48545,0.32034,1.10756,3.34493,2.06562,0.0004901,0.0004901,0.0004901
3,23.5202,1.25953,5.57132,1.68395,0.00833,1,0.43674,0.30243,1.1785,3.37166,2.22125,0.000729904,0.000729904,0.000729904
4,27.5713,1.2361,4.59166,1.72619,0.005,0.6,0.47187,0.32379,1.06719,3.29827,2.12703,0.000959412,0.000959412,0.000959412
5,31.6386,1.11303,4.00528,1.54914,0.94691,0.4,0.46716,0.31602,1.36337,3.27736,2.39724,0.00117862,0.00117862,0.00117862
6,35.5388,1.08351,3.74335,1.47488,0.97921,0.4,0.48583,0.31432,0.9714,2.63557,2.01451,0.00138754,0.00138754,0.00138754
7,39.3538,1.06083,4.19222,1.51869,0.60292,0.70945,0.64259,0.37958,1.25436,2.23668,2.05231,0.00158616,0.00158616,0.00158616
8,43.1839,1.20006,3.58588,1.61454,0.49881,0.8,0.67498,0.50797,0.93619,2.43039,1.67546,0.0017228,0.0017228,0.0017228
9,47.1704,1.16714,4.6313,1.58569,0.73539,0.86667,0.87982,0.68175,0.75962,2.43503,1.78057,0.0016832,0.0016832,0.0016832
10,51.0603,1.01551,2.92058,1.48882,0.66442,0.93333,0.80043,0.59915,0.84808,4.37074,1.45877,0.0016436,0.0016436,0.0016436
11,54.5928,0.97963,2.93885,1.48076,0.54259,0.86667,0.81679,0.62985,0.64483,7.58786,1.44344,0.001604,0.001604,0.001604
12,57.9119,1.08994,3.2151,1.49991,0.95265,0.73333,0.86865,0.66725,0.73656,1.9524,1.51053,0.0015644,0.0015644,0.0015644
13,61.1975,0.99246,2.62323,1.45909,0.99009,0.8,0.81662,0.70298,0.6109,1.45517,1.30325,0.0015248,0.0015248,0.0015248
14,64.5783,0.95101,2.80841,1.39147,0.99251,0.8,0.93933,0.80821,0.53461,1.07721,1.20461,0.0014852,0.0014852,0.0014852
15,67.8828,0.93886,2.95792,1.38453,0.9543,0.8,0.90172,0.69456,0.67311,1.29325,1.34539,0.0014456,0.0014456,0.0014456
16,71.1644,0.94653,2.87858,1.41623,0.73241,0.86667,0.8478,0.70036,0.63649,1.55442,1.31625,0.001406,0.001406,0.001406
17,74.4323,0.8827,2.28764,1.29945,0.91284,0.8,0.88754,0.72621,0.64147,1.20019,1.24962,0.0013664,0.0013664,0.0013664
18,77.707,0.92666,2.55296,1.44243,0.80341,0.81817,0.85289,0.6508,0.81974,1.68815,1.35293,0.0013268,0.0013268,0.0013268
19,81.0022,0.98166,2.35332,1.47619,0.83878,0.86667,0.89584,0.73905,0.76275,2.00535,1.41996,0.0012872,0.0012872,0.0012872
20,84.2997,0.88768,2.30589,1.33182,0.98913,0.8,0.93073,0.74605,0.64382,1.02154,1.2425,0.0012476,0.0012476,0.0012476
21,87.5972,0.7941,2.11114,1.32333,0.98825,0.8,0.90164,0.72299,0.54467,0.91091,1.21255,0.001208,0.001208,0.001208
22,90.8955,0.80957,2.04514,1.3219,0.99431,0.8,0.876,0.71767,0.56331,0.78419,1.23754,0.0011684,0.0011684,0.0011684
23,94.2015,0.85073,2.22033,1.29906,1,0.86249,0.90859,0.75646,0.56695,0.74825,1.18129,0.0011288,0.0011288,0.0011288
24,97.4908,0.88928,1.97552,1.36742,1,0.86216,0.89534,0.76768,0.61432,0.7201,1.20236,0.0010892,0.0010892,0.0010892
25,100.795,0.76522,1.71583,1.26412,0.99463,0.8,0.86501,0.77682,0.49595,0.76157,1.15656,0.0010496,0.0010496,0.0010496
26,104.063,0.72989,1.80157,1.26421,0.99497,0.8,0.87157,0.77995,0.48271,0.71579,1.18188,0.00101,0.00101,0.00101
27,107.337,0.75487,1.95773,1.28124,0.99391,0.8,0.90784,0.76826,0.52501,0.75386,1.16797,0.0009704,0.0009704,0.0009704
28,110.663,0.67143,1.60497,1.21375,1,0.86056,0.96946,0.79837,0.46768,0.76893,1.12247,0.0009308,0.0009308,0.0009308
29,113.965,0.71325,1.73321,1.20491,1,0.85525,0.90829,0.80804,0.41841,0.80902,1.0703,0.0008912,0.0008912,0.0008912
30,117.243,0.75926,1.75999,1.2218,0.98867,0.8,0.90061,0.79553,0.45106,0.83065,1.07602,0.0008516,0.0008516,0.0008516
31,120.571,0.73059,1.5628,1.21283,0.99472,0.8,0.87244,0.77343,0.50746,0.68279,1.15538,0.000812,0.000812,0.000812
32,123.887,0.70252,1.63076,1.24476,0.99468,0.8,0.83506,0.74704,0.48358,0.70868,1.14507,0.0007724,0.0007724,0.0007724
33,127.222,0.7065,1.59634,1.22365,0.99396,0.8,0.86934,0.77853,0.47779,0.70192,1.13225,0.0007328,0.0007328,0.0007328
34,130.494,0.64747,1.79064,1.16185,0.9942,0.8,0.86924,0.77387,0.50049,0.68658,1.1697,0.0006932,0.0006932,0.0006932
