epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1094,1.89122,4.32924,2.23519,0.00667,0.64,0.30672,0.1532,1.16287,3.80029,1.69556,0.00024,0.00024,0.00024
2,33.5378,1.24103,2.95915,1.73378,0.00771,0.74,0.29613,0.13319,1.46366,3.95216,1.82497,0.0004901,0.0004901,0.0004901
3,39.4395,1.37873,2.94816,1.833,0.00833,0.8,0.39123,0.25026,1.51056,3.93969,1.67493,0.000729904,0.000729904,0.000729904
4,43.5126,1.35206,2.74565,1.7763,0.85848,0.12,0.3044,0.2018,1.14388,3.47772,1.48066,0.000959412,0.000959412,0.000959412
5,47.3613,1.23794,2.56136,1.64288,0.52299,0.42,0.44695,0.28811,1.25426,3.35733,1.63946,0.00117862,0.00117862,0.00117862
6,51.2208,1.13708,2.44393,1.62749,0.39319,0.44,0.35102,0.18967,1.63266,3.80803,2.45579,0.00138754,0.00138754,0.00138754
7,55.0895,1.18534,2.39315,1.66905,0.60725,0.52,0.56521,0.40218,1.1864,4.01788,1.6467,0.00158616,0.00158616,0.00158616
8,58.8671,1.16142,2.27864,1.61981,0.81454,0.58,0.61211,0.3907,1.17199,3.91908,1.65383,0.0017228,0.0017228,0.0017228
9,62.787,1.24857,2.3541,1.66531,0.543,0.6,0.51704,0.28997,1.30621,3.94312,1.77544,0.0016832,0.0016832,0.0016832
10,67.1292,1.14995,2.20587,1.64618,0.51247,0.52566,0.50522,0.34128,1.15267,4.02461,1.59651,0.0016436,0.0016436,0.0016436
11,70.9368,1.15674,2.21269,1.62349,0.60986,0.42,0.48211,0.24608,1.23363,3.54528,1.68049,0.001604,0.001604,0.001604
12,74.7505,1.15913,2.16566,1.58512,0.49544,0.48,0.43658,0.27457,1.08949,2.46715,1.44186,0.0015644,0.0015644,0.0015644
13,78.4578,1.08733,1.97011,1.539,0.68492,0.56,0.5777,0.37557,1.16203,2.18742,1.49631,0.0015248,0.0015248,0.0015248
